text,labels,is_ood
listen to westbam alumb allergic on google music,PlayMusic,0
add step to me to the 50 clásicos playlist ,AddToPlaylist,0
i give this current textbook a rating value of 1 and a best rating of 6,RateBook,0
play the song little robin redbreast,PlayMusic,0
please add iris dement to my playlist this is selena,AddToPlaylist,0
add slimm cutta calhoun to my this is prince playlist  ,AddToPlaylist,0
i want to listen to seventies music ,PlayMusic,0
play a popular chant by brian epstein,PlayMusic,0
i need a forecast for jetmore  massachusetts in 1 hour and 1 second from now,GetWeather,0
rate this series a 5,RateBook,0
can you play me some eighties music by adele,PlayMusic,0
please let me know the weather forcast of stanislaus national forest far in nine months,GetWeather,0
add to playlist confidence boost here comes santa claus,AddToPlaylist,0
add another artist to the spotlight on country 2016 playlist  ,AddToPlaylist,0
add sugarolly days to my list  your favorite slaughterhouse,AddToPlaylist,0
show me the picture creatures of light and darkness,SearchCreativeWork,0
search for the adventures of cookie & cream,SearchCreativeWork,0
add this track to my global funk,AddToPlaylist,0
play hell house song,SearchCreativeWork,0
give this novel 5 stars,RateBook,0
play the top-20 best chicane songs on deezer,PlayMusic,0
i want to give this current textbook 4 points ,RateBook,0
add manuelita to my indiespensables playlist,AddToPlaylist,0
i d like to see the show onion sportsdome ,SearchCreativeWork,0
what s the weather in my current spot the day after tomorrow,GetWeather,0
play playlist the realest down south,PlayMusic,0
add this artist to gretchen s soul revived playlist,AddToPlaylist,0
find a video game called victory march,SearchCreativeWork,0
find a novel called industry ,SearchCreativeWork,0
play a chant by mj cole,PlayMusic,0
what is the weather like in the city of frewen in the country of venezuela,GetWeather,0
put this song on my playlist  in the name of blues ,AddToPlaylist,0
will it be colder in ohio,GetWeather,0
rate this album a 1,RateBook,0
play all of your toys by chris ledoux,PlayMusic,0
i want to hear a joel hastings melody  ,PlayMusic,0
rate in stars as a 6 for lord of the shadows which gets a four,RateBook,0
add rak biszewilo to my playlist named jazz,AddToPlaylist,0
rate my current book 1 out of 6,RateBook,0
what is the weather not far from upper klamath national wildlife refuge,GetWeather,0
add falling upstairs to the playlist named chill out,AddToPlaylist,0
will it storm in charles pinckney national historic site,GetWeather,0
play techno on lastfm,PlayMusic,0
add the entire album into indie español,AddToPlaylist,0
for the textbook  out of 6 possible i give the following one a 3 ,RateBook,0
please find the movie dancing girl,SearchCreativeWork,0
rate this book 0 out of 6,RateBook,0
play theme by yanni on vimeo,PlayMusic,0
rate the current novel a 3 ,RateBook,0
can you pull up a track on zvooq by graham mcpherson,PlayMusic,0
find resurrection of evil ,SearchCreativeWork,0
find playstation官方杂志  a song,SearchCreativeWork,0
rate the current essay 2 out of 6,RateBook,0
add this album to the playlist called dishwashing,AddToPlaylist,0
find young miss holmes,SearchCreativeWork,0
i give christianity not mysterious 1 out of 6 points ,RateBook,0
is it supposed to rain nearby my current location at 0 o clock,GetWeather,0
give zero / 6 stars to the current album,RateBook,0
put playa fly onto my 2010 decade playlist,AddToPlaylist,0
show me the painting called fool for love ,SearchCreativeWork,0
rate what the dog saw a two,RateBook,0
find a video game called a stroll in the pork,SearchCreativeWork,0
add bret mckenzie to my pop commute playlist,AddToPlaylist,0
what is the weather supposed to be like in new jersey three months from now,GetWeather,0
find the song called international journal of bilingualism,SearchCreativeWork,0
i rated the island of adventure saga a 2 of 6,RateBook,0
i m looking for the trailer of highlands today,SearchCreativeWork,0
add this song to my playlist named wild country,AddToPlaylist,0
rate the princess mouse: a tale of finland one of 6,RateBook,0
search for police women of cincinnati,SearchCreativeWork,0
add artist to lo mejor de los 00 s,AddToPlaylist,0
i d like johnny nash to be put into my playlist always pop punk,AddToPlaylist,0
find the they came from somewhere else saga,SearchCreativeWork,0
i want to watch the television show naked ii,SearchCreativeWork,0
show the three tales album,SearchCreativeWork,0
put this album in shuffle syndrome,AddToPlaylist,0
play caitlin cary from the fourties,PlayMusic,0
add a track to my hands up playlist ,AddToPlaylist,0
i d like to see the saga tamagotchi 64: minna de tamagotchi world,SearchCreativeWork,0
give the search for the snow leopard a rating of zero of 6 stars,RateBook,0
for the book tale of the toa i give five points ,RateBook,0
will it be warmer now in covenant life,GetWeather,0
play rap album one by gene vincent ,PlayMusic,0
add rosemary clooney to pura vida playlist,AddToPlaylist,0
what is the picture called lest we forget: the best of,SearchCreativeWork,0
find a photograph called call on me ,SearchCreativeWork,0
add tune to my hype playlist,AddToPlaylist,0
add por una cabeza to my playlist called this is new edition,AddToPlaylist,0
play a scott lafaro soundtrack,PlayMusic,0
add wastedagain to the wild & free workout playlist,AddToPlaylist,0
add this track to duetos,AddToPlaylist,0
find an art called cassidy ,SearchCreativeWork,0
give this saga a 1 ,RateBook,0
add the song to the dub on the beach playlist,AddToPlaylist,0
will it be humid in beedeville on november 20,GetWeather,0
i want to give the canon of medicine one out of 6 stars ,RateBook,0
play music from 2014,PlayMusic,0
play iheart,PlayMusic,0
please look up the falls church news-press album ,SearchCreativeWork,0
find a television show called merced sun-star ,SearchCreativeWork,0
can you pull up channel m news,SearchCreativeWork,0
play 2011 music ,PlayMusic,0
find a song called be quick or be dead ,SearchCreativeWork,0
put deep purple on this is jennifer lopez,AddToPlaylist,0
what is the weather in sint maarten,GetWeather,0
give 5 points to the deathlord of ixia,RateBook,0
play lorenzo palacios quispe,PlayMusic,0
add this track to the classical music for smart kids playlist,AddToPlaylist,0
give five out of 6 to this novel,RateBook,0
give two out of 6 to a christmas carol,RateBook,0
find me the picture entitled i’ll take care of you ,SearchCreativeWork,0
give this textbook zero out of 6 points,RateBook,0
